Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
feature_login,Chrome 110.0.0.0,,,2023-02-22 18:32:17,2023-02-22 18:33:55,1m - 38.183s,PASSED
,,,,,,,
Test Cases/Step Definition/feature_login/LGI001 - User want to login using correct credential,Chrome 110.0.0.0,,,2023-02-22 18:32:22,2023-02-22 18:32:42,19.340s,PASSED
"callTestCase(findTestCase(""Pages/page_login/navigate_to_login_page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:32:23,2023-02-22 18:32:31,8.337s,PASSED
"callTestCase(findTestCase(""Pages/page_login/verify_content""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:32:31,2023-02-22 18:32:35,3.664s,PASSED
"callTestCase(findTestCase(""Pages/page_login/input_email""), [""email"":email], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:32:35,2023-02-22 18:32:36,1.103s,PASSED
"callTestCase(findTestCase(""Pages/page_login/input_password""), [""password"":password], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:32:36,2023-02-22 18:32:37,1.027s,PASSED
"callTestCase(findTestCase(""Pages/page_login/click_masuk""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:32:37,2023-02-22 18:32:37,0.724s,PASSED
"callTestCase(findTestCase(""Pages/page_home/navigate_to_daftarjual_page""), [""expected"":""Daftar Jual""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:32:37,2023-02-22 18:32:42,4.046s,PASSED
,,,,,,,
Test Cases/Step Definition/feature_login/LGI002 - User want to login by not filling all field,Chrome 110.0.0.0,,,2023-02-22 18:32:42,2023-02-22 18:32:58,16.213s,PASSED
"callTestCase(findTestCase(""Pages/page_login/navigate_to_login_page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:32:42,2023-02-22 18:32:50,8.308s,PASSED
"callTestCase(findTestCase(""Pages/page_login/verify_content""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:32:50,2023-02-22 18:32:54,3.489s,PASSED
