Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
feature_notification,Chrome 110.0.0.0,,,2023-02-22 18:34:55,2023-02-22 18:35:23,28.695s,PASSED
,,,,,,,
Test Cases/Step Definition/feature_notification/NOT001 - Notification,Chrome 110.0.0.0,,,2023-02-22 18:35:00,2023-02-22 18:35:23,23.175s,PASSED
"callTestCase(findTestCase(""Pages/page_login/navigate_to_login_page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:35:00,2023-02-22 18:35:10,9.634s,PASSED
"callTestCase(findTestCase(""Pages/page_login/verify_content""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:35:10,2023-02-22 18:35:14,3.619s,PASSED
"callTestCase(findTestCase(""Pages/page_login/input_email""), [""email"":""afkoke@gmail.com""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:35:14,2023-02-22 18:35:15,1.073s,PASSED
"callTestCase(findTestCase(""Pages/page_login/input_password""), [""password"":""1234567890""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:35:15,2023-02-22 18:35:16,0.990s,PASSED
"callTestCase(findTestCase(""Pages/page_login/click_masuk""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:35:16,2023-02-22 18:35:16,0.740s,PASSED
"callTestCase(findTestCase(""Pages/page_notification/click_icon_lonceng""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:35:16,2023-02-22 18:35:19,2.447s,PASSED
"callTestCase(findTestCase(""Pages/page_notification/list_notif""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-22 18:35:19,2023-02-22 18:35:23,4.360s,PASSED
